noise_param,noise_level,gaussian_level,sparse_level,stripe_prob,stripe_strength,case_id,method,mPSNR,mSSIM,ERGAS,time_sec
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,hairs_ms,CTV-RPCA,39.104390,0.989298,11.544195,790.982392
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,hairs_ms,RPCA,25.035095,0.911697,66.848165,118.811731
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,jelly_beans_ms,Noisy,11.766625,0.095976,211.870879,0.000000
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,jelly_beans_ms,SSCTV-RPCA,43.035659,0.989316,6.697741,4401.583130
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,jelly_beans_ms,CTV-RPCA,35.445953,0.985756,14.975521,803.474967
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,jelly_beans_ms,RPCA,25.553158,0.861113,45.528803,125.785779
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,oil_painting_ms,Noisy,11.757171,0.055815,176.832388,0.000000
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,oil_painting_ms,SSCTV-RPCA,42.509114,0.975193,5.884096,4328.108117
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,oil_painting_ms,CTV-RPCA,38.905585,0.978987,8.564812,775.345327
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,oil_painting_ms,RPCA,28.813574,0.878604,27.539945,119.579517
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,paints_ms,Noisy,11.767215,0.083738,130.450073,0.000000
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,paints_ms,SSCTV-RPCA,43.564644,0.985260,3.651875,4436.112060
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,paints_ms,CTV-RPCA,39.331193,0.988317,5.556534,814.071547
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,paints_ms,RPCA,26.165039,0.873494,26.829798,122.187064
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,photo_and_face_ms,Noisy,11.761299,0.028743,426.486626,0.000000
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,photo_and_face_ms,SSCTV-RPCA,43.660927,0.988649,11.738551,4513.427641
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,photo_and_face_ms,CTV-RPCA,40.656655,0.987302,15.502725,794.072589
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,photo_and_face_ms,RPCA,28.994228,0.928303,60.076101,99.571104
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,pompoms_ms,Noisy,11.758535,0.047282,143.671866,0.000000
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,pompoms_ms,SSCTV-RPCA,45.596044,0.987351,3.098203,4517.804484
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,pompoms_ms,CTV-RPCA,42.970302,0.987068,4.681286,772.276733
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,pompoms_ms,RPCA,22.848459,0.760909,42.132594,126.522990
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,real_and_fake_apples_ms,Noisy,11.762737,0.022539,363.271282,0.000000
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,real_and_fake_apples_ms,SSCTV-RPCA,47.903433,0.992157,5.571976,4535.589905
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,real_and_fake_apples_ms,CTV-RPCA,41.317296,0.988462,13.206619,770.150072
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,real_and_fake_apples_ms,RPCA,21.714132,0.875524,117.403560,99.635145
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,real_and_fake_peppers_ms,Noisy,11.758407,0.029314,213.639986,0.000000
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,real_and_fake_peppers_ms,SSCTV-RPCA,47.368206,0.990820,3.859651,4370.679785
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,real_and_fake_peppers_ms,CTV-RPCA,41.226997,0.985786,8.577230,755.484230
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,real_and_fake_peppers_ms,RPCA,24.144412,0.823518,71.322663,127.582147
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,sponges_ms,Noisy,11.757392,0.042570,87.934108,0.000000
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,sponges_ms,SSCTV-RPCA,43.802510,0.977043,2.440494,4655.409619
